V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;GASTOS;GASTOSNOP;GASTOPNOP
8789005;451;451;2;1992;72027;5469154;1144266;0;0;104047;43423;272192;4989;176251;22726;15254;0;18285;19346;313445;0;0;154302;1353196;622726;40737301;4324888;25;0;25;0;0;0;26;0;0;8;17;0;0;0;0;0;0;8;17;1347652;329690;1677342;253167;0;0;1930510;695574;2842058;35196119;1768816;35196119;35268146;36904236;391226;39318468
8789006;451;451;2;1992;50053;3800600;795168,5;0;0;72304;30176;189151;3468;122481;15793;10601;1;12708;13444;217819;0;0;107228,5;940357;432742;28308973;3005431,5;19;0;19;0;0;1;19;0;0;6;13;0;0;0;0;1;0;7;13;936505;229107;1165612;175929,92;0;0;1341540,92;483366;1974991;24458321,04;1229178,5;24458321;24508374;25645318;271870;27323004
3381855;466;466-469;9;2004;0;878232;175672;0;0;17561;1404;60635;2284;362;10241;1314;1794;0;0;5416;55680;0;18977;252591;125402;2328882;702560;9;0;8;1;0;0;9;0;0;4;4;1;0;0;0;0;0;5;4;233019;66071;294970;53889;0;19572;368431;273664;156624;1450650;215144;1450650;1450650;1645299;113975;2189849
3381856;466;466-469;9;2004;0;635962;127211,5;0;0;12717;1017;43909;1655;263;7417;953;1300;0;0;3922;40320;0;13742,5;182911;90809;1686433;508750,5;7;0;6;1;0;0;7;0;0;3;3;1;0;0;0;0;0;4;3;168738;47846;213599;39024,44;0;14173;266796,44;198172;113419;1050471;155795,5;1050471;1050471;1191425;82535;1585754
1032165;4711-472;471-472;7;2010;0;10733566;4354340;0;7765;63489;0;3928968;0;9155;107677;31504;24479;44082;61856;18598;0;0;56762;682506;288258;18872004;6379225;25;0;25;0;0;0;25;0;0;14;10;0;0;0;0;0;0;14;10;675797;156210;832007;113740;0;0;945747;3956106;3475678;8138437;3715892;8138437;8138437;12796274;2550252;16367461
1032166;4711-472;471-472;7;2010;0;8097252;3284854,5;0;5858;47896;0;2963959;0;6908;81231;23767;18468;33256;46665;14031;0;0;42820,5;514874;217459;14236775;4812398,5;19;0;19;0;0;1;20;0;0;11;9;0;0;0;0;1;0;12;9;509812;117843;627655;85804,64;0;0;713459,64;2984432;2622003;6139524;2803217,5;6139524;6139524;9653331;1923876;12347383
3348415;4772;476 - 477;2;1985;0;1867487;570767;0;0;159146;69476;103993;13933;9373;20318;11590;2723;21187;32512;54672;0;0;71839;465652;161870;3735382;1296719;11;0;11;0;0;0;11;0;0;7;3;0;0;0;0;0;0;7;3;465652;86531;552184;65221;0;0;617405;496131;496131;1867894;496131;1867894;1867894;2640000;654;3276057
3348416;4772;476 - 477;2;1985;0;1467312;448461;0;0;125044;54590;81710;10949;7366;15965;9107;2140;16647;25546;42957;0;0;56445;365871;127184;2934943;1018852;10;0;10;0;0;0;10;0;0;7;4;0;0;0;0;0;0;7;4;365871;67989;433859;51245,72;0;0;485104,72;389818;389818;1467632;389818;1467632;1467632;2074287;514;2574045
3404305;4773;476 - 477;7;2010;0;12528020;10853500;0;46694;178167;8265192;432769;0;23579;7467;27654;1189;444217;780672;8034;357021;22004;258835;459622;219300;18250928;1674519;8;0;8;0;0;0;8;0;0;4;3;0;0;0;0;0;0;4;3;459622;123830;583453;83147;0;0;666601;5831769;10549656;5722907;8190713;5722907;5722907;17265223;1309690;19366586
3404306;4773;476 - 477;7;2010;0;10250199;8880137,5;0;38205;145774;6762431;354085;0;19293;6110;22627;973;363451;638733;6574;292109;18004;211774,5;376055;179429;14932578;1370062,5;7;0;7;0;0;0;7;0;0;5;3;0;0;0;0;0;0;5;3;376055;101317;477371;68031,08;0;0;545401,08;4771449;8631537;4682380;6701492,5;4682380;4682380;14126092;1071565;15845389
