KEYPPAL_L|KEYPPAL|NUM_LOTE|COB_TIPO|LOTE_TIPO|CUL_TIPO|ESTAB_TIPO|RIEGO_SN|CANT_CUL|CTL3_AGR_LCT_PAS|CTL3_COB_CULT_PAS|CTL4_ANO_COB_PAS|CTL4_AGR_LCT_FUT|LOT_OBS
0007995F372CB47D12196261409B280801|0007995F372CB47D12196261409B2808|01|1|1|1|1|1|1|1||||ENTRE FEBRERO Y MAYO EL LOTE ESTUVO EN BARBECHO
0007995F372CB47D12196261409B280802|0007995F372CB47D12196261409B2808|02||2|1|1|1|1|2|||2|ANTES RASTROJO
0007995F372CB47D12196261409B280803|0007995F372CB47D12196261409B2808|03|1|1|1|1|2|1|2|4||2|DEJA DESCANSAR EL LOTE DE 1 A 3 ANOS
0007995F372CB47D12196261409B280804|0007995F372CB47D12196261409B2808|04|1|1|1|1|2|1|2|6||2|ESTABA EN RASTROJO DE ENERO A SEPTIEMBRE
0007995F372CB47D12196261409B280805|0007995F372CB47D12196261409B2808|05|5|1|2|1|2|2|2|9||2|
0007995F372CB47D12196261409B280806|0007995F372CB47D12196261409B2808|06|5|1|1|1|2|1|2|9||2|
0007EB3E15A763FA0A571C20E7297D4C01|0007EB3E15A763FA0A571C20E7297D4C|01|5|1|1|1|2|1|2|5||2|
0007EB3E15A763FA168EF3D9C2ABAD8401|0007EB3E15A763FA168EF3D9C2ABAD84|01|5|1|1|1|3|1|2|5||2|
0007EB3E15A763FA270AB5548E1106DB01|0007EB3E15A763FA270AB5548E1106DB|01|5|1|1|1|2|1|2|5||2|
0007EB3E15A763FA88B1F0D1FB2762BE01|0007EB3E15A763FA88B1F0D1FB2762BE|01|5|1|1|1|2|1|2|5||2|
0007EB3E15A763FAA6C5EB743CDE1F4801|0007EB3E15A763FAA6C5EB743CDE1F48|01|2|1|1|1|2|1|2|2|2010|2|
0007EB3E15A763FAA6C5EB743CDE1F4802|0007EB3E15A763FAA6C5EB743CDE1F48|02|5|1|1|1|2|1|2|5||2|
0007EB3E15A763FAA6C5EB743CDE1F4803|0007EB3E15A763FAA6C5EB743CDE1F48|03|5|1|1|1|2|1|2|5||2|
001095CF1E1D6BCF4BF28AC951DF5F2D01|001095CF1E1D6BCF4BF28AC951DF5F2D|01|8|1|1|||1|2|9||2|
001095CF1E1D6BCF4BF28AC951DF5F2D02|001095CF1E1D6BCF4BF28AC951DF5F2D|02|5|1|1|1|2|1|2|5||2|
001095CF1E1D6BCF5032860A644EA79801|001095CF1E1D6BCF5032860A644EA798|01|5|1|1|1|2|1|2|5||2|
00181F61DBE0714D109ACBC267F065DA01|00181F61DBE0714D109ACBC267F065DA|01|2|1|1|1|2|1|2|5||2|
00181F61DBE0714D109ACBC267F065DA02|00181F61DBE0714D109ACBC267F065DA|02|2|1|1|1|2|1|2|5||2|
00181F61DBE0714D109ACBC267F065DA03|00181F61DBE0714D109ACBC267F065DA|03|5|1|1|1|2|1|2|9||2|
00181F61DBE0714D294823E270B82C3A01|00181F61DBE0714D294823E270B82C3A|01|2|1|1|1|2|1|2|6||2|
00181F61DBE0714D29B1F5ABC2CB56E801|00181F61DBE0714D29B1F5ABC2CB56E8|01|2|1|1|1|2|1|2|9||2|
00181F61DBE0714D2C25168BF9E9DA4201|00181F61DBE0714D2C25168BF9E9DA42|01|5|1|1|1|2|1|2|5||2|
00181F61DBE0714D2C25168BF9E9DA4202|00181F61DBE0714D2C25168BF9E9DA42|02|5|1|1|1|2|1|2|5||2|
00181F61DBE0714D2C25168BF9E9DA4203|00181F61DBE0714D2C25168BF9E9DA42|03|5|1|1|1|2|1|2|5||2|
00181F61DBE0714D2C25168BF9E9DA4204|00181F61DBE0714D2C25168BF9E9DA42|04|2|1|1|1|2|1|2|9||2|
00181F61DBE0714D2C25168BF9E9DA4205|00181F61DBE0714D2C25168BF9E9DA42|05|2|1|2|1|2|2|2|9||2|CAFE EN ZOCA NO PRODUCIENDO
00181F61DBE0714D57C18C02F7CDA5EB01|00181F61DBE0714D57C18C02F7CDA5EB|01|2|1|1|1|2|1|2|9||2|
00181F61DBE0714D57C18C02F7CDA5EB02|00181F61DBE0714D57C18C02F7CDA5EB|02|2|1|1|1|2|1|2|9||2|
001AA4EAE307C0A30BF8D91F207197FD01|001AA4EAE307C0A30BF8D91F207197FD|01|2|1|1|1|3|1|2|2|2018|2|
001AA4EAE307C0A30BF8D91F207197FD02|001AA4EAE307C0A30BF8D91F207197FD|02|5|1|1|1|1|1|2|5||2|
001AA4EAE307C0A3822A41448B4EE01201|001AA4EAE307C0A3822A41448B4EE012|01|2|1|1|1|2|1|2|2|2018|2|
001AA4EAE307C0A3A3CCC9EA740C2A6D01|001AA4EAE307C0A3A3CCC9EA740C2A6D|01|5|1|2|1|3|2|2|5||2|
001AA4EAE307C0A3E5D3E5D0E61DB8CD01|001AA4EAE307C0A3E5D3E5D0E61DB8CD|01|2|1|1|1|2|1|2|2|2015|2|
001AA4EAE307C0A3E5D3E5D0E61DB8CD02|001AA4EAE307C0A3E5D3E5D0E61DB8CD|02|2|1|1|1|2|1|2|2|2018|2|VENDE EN PLAZA DE CAPARRAPI
001AA4EAE307C0A3E5D3E5D0E61DB8CD03|001AA4EAE307C0A3E5D3E5D0E61DB8CD|03|2|1|1|1|2|1|2|2|2018|2|ASOCIADO CON FONDASES EN TRAMITE PARA CULTIVO ORGANICO
001AA4EAE307C0A3E5D3E5D0E61DB8CD04|001AA4EAE307C0A3E5D3E5D0E61DB8CD|04|2|1|1|1|2|1|2|2|2018|2|TIENE TRAPICHE LABOR DE POSTCOSECHA
001AA4EAE307C0A3E5D3E5D0E61DB8CD05|001AA4EAE307C0A3E5D3E5D0E61DB8CD|05|5|1|2|1|2|3|2|5||2|
001AA4EAE307C0A3EBDA11C46B60C95101|001AA4EAE307C0A3EBDA11C46B60C951|01|5|1|1|1|2|1|2|5||2|
001E7A10D488E2881B7D279C330C649D01|001E7A10D488E2881B7D279C330C649D|01|5|1|1|1|3|1|2|9||2|
001E7A10D488E28820824D515CEF227E01|001E7A10D488E28820824D515CEF227E|01|2|1|1|1|3|1|2|9||2|
001E7A10D488E28825FC70C96F2A0ACA01|001E7A10D488E28825FC70C96F2A0ACA|01|2|1|1|1|1|1|2|9||2|
001E7A10D488E28825FC70C96F2A0ACA02|001E7A10D488E28825FC70C96F2A0ACA|02|2|1|2|1|2|2|2|9||2|
001E7A10D488E28825FC70C96F2A0ACA03|001E7A10D488E28825FC70C96F2A0ACA|03|3|2|1|1|2|1|2|||2|DESCONOCE EL PASADO Y FUTURO DEL LOTE LLEVA POCO TIEMPO TRABAJANDO ALLI
001E7A10D488E28841A543885EA9934A01|001E7A10D488E28841A543885EA9934A|01|2|1|1|1|1|1|2|9||2|
001E7A10D488E288963F9408306BDF1601|001E7A10D488E288963F9408306BDF16|01|1|1|1|1|1|1|1||||
001E7A10D488E288963F9408306BDF1602|001E7A10D488E288963F9408306BDF16|02||2|1|1|1|1|2|||2|
001E7A10D488E288A61C279210C3549101|001E7A10D488E288A61C279210C35491|01|2|1|2|1|2|2|2|9||2|
001E7A10D488E288A61C279210C3549102|001E7A10D488E288A61C279210C35491|02|2|1|1|1|1|1|2|9||2|
001E7A10D488E288E1E4E6805048EE8601|001E7A10D488E288E1E4E6805048EE86|01|2|1|1|1|3|1|2|9||2|
001E7A10D488E288EA5243CF26043AC301|001E7A10D488E288EA5243CF26043AC3|01|2|1|1|1|3|1|2|9||2|
001E7A10D488E288EC79A4113B16F16F01|001E7A10D488E288EC79A4113B16F16F|01|2|1|1|1|2|1|2|9||2|
002012EEB3021905017AE9DCC853195901|002012EEB3021905017AE9DCC8531959|01|5|1|1|1|3|1|2|5||2|
002012EEB30219052F4DA0FF758691D601|002012EEB30219052F4DA0FF758691D6|01|5|1|1|1|3|1|2|5||2|
002012EEB302190545558ED8A8B0D76C01|002012EEB302190545558ED8A8B0D76C|01|5|1|1|1|3|1|2|5||2|
002012EEB3021905D8E0AC5BA9F4FB0401|002012EEB3021905D8E0AC5BA9F4FB04|01|1|1|1|1|3|1|2|3|2018|2|
002012EEB3021905D8E0AC5BA9F4FB0402|002012EEB3021905D8E0AC5BA9F4FB04|02|1|1|2|1|3|2|2|3|2018|2|
002012EEB3021905D8E0AC5BA9F4FB0403|002012EEB3021905D8E0AC5BA9F4FB04|03|3|2|1|1|3|1|2|||2|PASADO BARBECHO
002012EEB3021905D8E0AC5BA9F4FB0404|002012EEB3021905D8E0AC5BA9F4FB04|04|5|1|1|1|3|1|2|5||2|
002012EEB3021905E70A2364B878AFE801|002012EEB3021905E70A2364B878AFE8|01|5|1|1|1|2|1|2|5||2|
0028BD68AE4CF31B014B2492CF7A7B5A01|0028BD68AE4CF31B014B2492CF7A7B5A|01|2|1|1|1|2|1|2|9||2|
0028BD68AE4CF31B014B2492CF7A7B5A02|0028BD68AE4CF31B014B2492CF7A7B5A|02|2|1|1|1|2|1|2|9||2|
0028BD68AE4CF31B014B2492CF7A7B5A03|0028BD68AE4CF31B014B2492CF7A7B5A|03|2|1|1|1|2|1|2|9||2|
0028BD68AE4CF31B014B2492CF7A7B5A04|0028BD68AE4CF31B014B2492CF7A7B5A|04|2|1|1|1|2|1|2|9||2|
0028BD68AE4CF31B014B2492CF7A7B5A05|0028BD68AE4CF31B014B2492CF7A7B5A|05|2|1|1|1|2|1|2|9||2|
0028BD68AE4CF31B014B2492CF7A7B5A06|0028BD68AE4CF31B014B2492CF7A7B5A|06|2|1|1|1|2|1|2|5||2|
