KEYPPAL_PR|KEYPPAL|NUM_PRODUCTOR|AUTO_REC_PROD|COND_CAM_PROD_SN|FUE_CAM_PROD_SN|COMU_CAM_SN|SIT_DESPLAZ_OPA|SIT_DESPLAZ_OPB|SIT_DESPLAZ_OPC|SIT_DESPLAZ_OPD|ANIO_DESPLAZ_FOR|ANIO_DESPOJO|ANIO_ABAN_FORZ|RES_PROD_SN|COD_DPTO_RESPROD|MET_MEDICION|D_EUCLIDIANA_KM|D_GEODESICA_KM|PROD_SEX|MUJCABFAM_SN|NIVEL_ESTUD|EDAD_PROD|RAZA_PROD|DED_PROD|PROD_SEG_OPA|PROD_SEG_OPB|PROD_SEG_OPC|PROD_SEG_OPD
0007995F372CB47D12196261409B280801|0007995F372CB47D12196261409B2808|01|1|1||1||||1||||1||UPA|0|0|1|1|1|37|6|1|||1|
0007EB3E15A763FA0A571C20E7297D4C01|0007EB3E15A763FA0A571C20E7297D4C|01|1|1||1||||1||||1||UPA|0|0|1|1|1|52|6|1|||1|
0007EB3E15A763FA168EF3D9C2ABAD8401|0007EB3E15A763FA168EF3D9C2ABAD84|01|1|1||1||||1||||1||UPA|0|0|1|1|1|65|6|1|||1|
0007EB3E15A763FA270AB5548E1106DB01|0007EB3E15A763FA270AB5548E1106DB|01|1|1||1||||1||||1||UPA|0|0|1|1|1|43|6|1|||1|
0007EB3E15A763FA88B1F0D1FB2762BE01|0007EB3E15A763FA88B1F0D1FB2762BE|01|1|1||1||||1||||1||UPA|0|0|2|2|1|75|6|2|||1|
0007EB3E15A763FAA6C5EB743CDE1F4801|0007EB3E15A763FAA6C5EB743CDE1F48|01|1|1||1||||1||||1||UPA|0|0|1|1|1|53|6|1|||1|
001095CF1E1D6BCF4BF28AC951DF5F2D01|001095CF1E1D6BCF4BF28AC951DF5F2D|01|2|||||||||||2|23|punto alcaldia municipal|53.6778006040993|53.9942822551289|1|1|6|60|6|2|||1|
00181F61DBE0714D109ACBC267F065DA01|00181F61DBE0714D109ACBC267F065DA|01|2|||||||||||2|17|punto alcaldia municipal|13.1996099482265|13.243313347562|1|1|6|50|6|5|||1|
00181F61DBE0714D29B1F5ABC2CB56E801|00181F61DBE0714D29B1F5ABC2CB56E8|01|1|1||2||||1||||1||UPA|0|0|1|1|5|53|6|2|||1|
00181F61DBE0714D2C25168BF9E9DA4201|00181F61DBE0714D2C25168BF9E9DA42|01|1|2|2|2||||1||||2|17|punto alcaldia municipal|71.0287053299883|71.4423594083613|1|1|5|52|6|2||||1
